bpm,danceability,loudness,key,scale,filter
80,0.30,-17,A,minor,willow
82,0.35,-16,E,minor,willow
84,0.40,-15,D,minor,willow
86,0.45,-14,F,minor,willow
88,0.50,-13,G,minor,willow
90,0.55,-12,B,minor,willow
92,0.40,-11,E,minor,aden
94,0.45,-10,D,minor,aden
96,0.50,-9,F,minor,aden
98,0.55,-8,A,minor,aden
100,0.60,-7,G,minor,aden
102,0.65,-6,C,minor,aden
104,0.50,-10,E,major,gingham
106,0.55,-9,F,major,gingham
108,0.60,-8,A,major,gingham
110,0.65,-7,C,major,gingham
112,0.70,-6,D,major,gingham
114,0.75,-5,G,major,gingham
116,0.50,-8,F,major,clarendon
118,0.55,-7,G,major,clarendon
120,0.60,-6,A,major,clarendon
122,0.65,-5,C,major,clarendon
124,0.70,-4,D,major,clarendon
126,0.75,-3,E,major,clarendon
128,0.40,-13,B,minor,sepia
130,0.45,-12,E,minor,sepia
132,0.50,-11,F,minor,sepia
134,0.55,-10,G,minor,sepia
136,0.60,-9,A,minor,sepia
138,0.65,-8,C,minor,sepia
140,0.80,-5,E,major,gotham
142,0.82,-4,F,major,gotham
144,0.84,-3,A,major,gotham
146,0.86,-2,C,major,gotham
148,0.88,-1,D,major,gotham
150,0.90,0,G,major,gotham
100,0.50,-9,E,major,warm
102,0.55,-8,F,major,warm
104,0.60,-7,G,major,warm
106,0.65,-6,A,major,warm
108,0.70,-5,C,major,warm
110,0.75,-4,D,major,warm
112,0.90,0,E,major,cold
114,0.91,0,F,major,cold
116,0.92,1,G,major,cold
118,0.93,1,A,major,cold
120,0.94,1,C,major,cold
122,0.95,2,D,major,cold
124,0.85,-3,E,major,lofi
126,0.86,-3,F,major,lofi
128,0.87,-2,G,major,lofi
130,0.88,-2,A,major,lofi
132,0.89,-1,C,major,lofi
134,0.90,-1,D,major,lofi
85,0.33,-15,F,minor,grayscale
87,0.36,-14,A,minor,grayscale
89,0.38,-13,G,minor,grayscale
91,0.40,-12,D,minor,grayscale
93,0.43,-11,E,minor,grayscale
95,0.46,-10,C,minor,grayscale
97,0.35,-16,A,minor,blur
99,0.38,-15,E,minor,blur
101,0.41,-14,F,minor,blur
103,0.44,-13,D,minor,blur
105,0.47,-12,G,minor,blur
107,0.50,-11,C,minor,blur
109,0.55,-9,E,major,lark
111,0.58,-8,F,major,lark
113,0.61,-7,G,major,lark
115,0.64,-6,A,major,lark
117,0.67,-5,C,major,lark
119,0.70,-4,D,major,lark
121,0.60,-9,F,major,juno
123,0.63,-8,G,major,juno
125,0.66,-7,A,major,juno
127,0.69,-6,C,major,juno
129,0.72,-5,D,major,juno
131,0.75,-4,E,major,juno
133,0.55,-10,F,major,reyes
135,0.58,-9,G,major,reyes
137,0.61,-8,A,major,reyes
139,0.64,-7,C,major,reyes
141,0.67,-6,D,major,reyes
143,0.70,-5,E,major,reyes
145,0.65,-9,F,major,valencia
147,0.68,-8,G,major,valencia
149,0.71,-7,A,major,valencia
151,0.74,-6,C,major,valencia
153,0.77,-5,D,major,valencia
155,0.80,-4,E,major,valencia
157,0.70,-7,F,major,xpro2
159,0.73,-6,G,major,xpro2
161,0.76,-5,A,major,xpro2
163,0.79,-4,C,major,xpro2
165,0.82,-3,D,major,xpro2
167,0.85,-2,E,major,xpro2
169,0.75,-6,F,major,amaro
171,0.78,-5,G,major,amaro
173,0.81,-4,A,major,amaro
175,0.84,-3,C,major,amaro
177,0.87,-2,D,major,amaro
179,0.90,-1,E,major,amaro
181,0.65,-10,F,major,hudson
183,0.68,-9,G,major,hudson
185,0.71,-8,A,major,hudson
187,0.74,-7,C,major,hudson
189,0.77,-6,D,major,hudson
191,0.80,-5,E,major,hudson
193,0.55,-11,F,major,earlybird
195,0.58,-10,G,major,earlybird
197,0.61,-9,A,major,earlybird
199,0.64,-8,C,major,earlybird
201,0.67,-7,D,major,earlybird
203,0.70,-6,E,major,earlybird
